606,1,2022,4,25,100,3,13.5,TRUE,0,99-tea-house-fremont-2
607,3,2022,3,1,101,4,18,TRUE,1,one-tea-fremont-2
608,3,2022,3,1,102,1,4.5,FALSE,2,royaltea-usa-fremont
609,3,2022,3,3,103,1,4.5,FALSE,3,teco-tea-and-coffee-bar-fremont
610,5,2022,3,3,104,1,4.5,TRUE,4,t-lab-fremont-3
611,5,2022,3,3,105,2,9,FALSE,5,q-tea-monster-newark
612,7,2022,2,28,106,1,4.5,FALSE,6,gong-cha-fremont
613,8,2022,2,27,107,1,4.5,TRUE,7,happy-lemon-fremont-2
614,10,2022,2,28,108,2,9,FALSE,8,factory-tea-bar-fremont-2
615,10,2022,2,20,109,3,13.5,FALSE,9,super-cue-cafe-fremont
